Y_1h,Y_4h,Y_12h,Y_24h,Y_48h
0.013800493,-0.0058898106,-0.025693506,-0.083326705,-0.13836966
0.0012249907,-0.04428419,-0.07825578,-0.0607477,-0.12479208
-0.018339781,0.010239842,0.0024268504,-0.06870013,0.080921486
0.018369416,0.020207847,0.053444486,0.159608,0.20978464
-0.008252122,-0.0068521462,0.013112697,0.044726666,-0.015973374
-0.0070247184,-0.026026689,-0.042613894,-0.058064196,-0.07731677
-0.0041348534,-0.015740834,0.005318642,-0.020532638,-0.032155912
0.008770144,-0.015081658,-0.03492686,-0.011874786,0.007705825
0.0044833175,-0.023132492,0.028276142,0.019814057,0.009727145
0.0066948514,-0.01069243,0.0028704645,-0.009892828,-0.03770832
-0.0057489527,-0.029255262,-0.04393211,-0.028103763,-0.18471746
-0.01440744,-0.02964942,-0.07967248,-0.16190566,-0.07328279
0.01828482,0.04708232,0.06835938,0.107073635,0.07935109
0.00014005182,-0.003674662,-0.033610474,-0.02524769,-0.0038978856
-0.00039245395,0.029314278,0.015243977,0.0219049,0.018757163
0.008910664,0.024683462,0.049240705,-0.003081522,-0.0073371553
0.008761157,-0.01460496,-0.03624014,-0.004268884,-0.055447526
-0.007765255,-0.0145754265,-0.048720814,-0.05140984,0.05605655
0.006849168,0.020500286,0.026275044,0.11292222,0.11613559
-0.0071348236,-0.031831194,0.10762879,0.002924423,-0.0024418528
-0.0037094613,-0.021805823,-0.0145487115,-0.00535059,-0.04970572
0.0037326447,-0.00095488725,-0.0027237562,-0.04460528,-0.008916646
0.027155267,0.031083561,0.037589047,0.037369363,0.10982106
-0.00054378936,0.003355725,0.030107828,0.07013715,0.12667628
-0.0070772287,0.013665673,0.001213504,0.053308748,0.023746463
0.0022121097,-0.01010812,-0.0116763795,-0.02810115,0.01780458
-0.009754714,0.007393917,0.023165217,0.04720783,0.069385335
0.0016914915,0.011321912,0.029974043,0.021246942,-0.00040060998
-0.023673818,-0.03161353,-0.01878499,-0.021197068,0.18009919
-0.005259549,-0.0036332584,0.10952979,0.20475295,0.1985454
-0.013026272,0.0014828434,-0.0313796,-0.0053578606,-0.053792708
-0.0055391323,-0.010688871,-0.0185994,-0.04870938,0.031641085
0.01334666,0.035249174,0.041533273,0.029590666,0.09616498
0.0041322103,0.0054072426,0.039904844,0.0648504,0.04949783
-0.0025801917,-0.0021803265,-0.015355616,-0.014462905,0.0756085
-0.003608705,-0.006698038,0.019865248,0.09128618,0.08373876
-0.0008458608,-0.007319164,0.018942282,-0.0069677476,0.00014975083
0.009182879,0.0155110825,0.018872138,0.007167431,-0.0428553
0.011111632,-0.007980427,-0.043611042,-0.049652077,-0.13744673
-0.016736254,-0.05022206,-0.089029945,-0.09299435,-0.05483591
0.03579037,0.04456111,0.047086928,0.042294495,-0.034151938
-5.028981e-05,-0.017419698,0.01939696,-0.07324814,-0.058976073
-0.0068495255,0.0047863945,0.0004773397,0.015468932,-0.009724048
0.0049846964,0.0027858908,-0.0020006257,-0.024805605,-0.027512847
0.002083459,-0.042304225,-0.03427113,-0.002778014,0.06482683
-0.0011978222,0.0052174916,0.03669302,0.0677804,0.049524773
0.00028325614,-0.0039602974,-0.011013518,-0.017152943,0.031189796
0.007022856,0.012317149,0.082931116,0.049158867,-0.03458094
0.0114095835,-0.03592458,-0.030222755,-0.079694696,-0.040972263
-0.0025603278,-0.0032193037,0.017511616,0.042217404,0.050638225
-0.003291863,-0.007311983,-0.023502244,0.008096848,0.05491616
0.003243963,0.004205793,0.012067243,0.03165203,0.019561708
-0.00800582,-0.011607678,-0.016998282,-0.011726555,0.06785758
-0.0053441627,0.0036509342,0.056786206,0.080460414,0.047858298
-0.002929776,-0.0005705146,-0.013591287,-0.03028759,-0.11653737
0.011144826,0.0062154443,-0.049869817,-0.08924541,-0.048542496
0.007077323,0.006090469,0.01854498,0.04489245,0.0892221
-0.0041609094,-0.016798208,-0.024191927,0.042596836,0.006394802
0.0019617288,-0.00216418,-0.014868522,-0.034732766,-0.004890883
