timestamp,open,high,low,close,volume,RSI,MACD,MACD_signal,macd_histogram,macd_divergence,macd_slope,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,bollinger_mavg,bollinger_hband,bollinger_lband,bollinger_width,timeframe
2022-03-04,42454.0,42527.3,38550.0,39148.66,61964.68498,45.544484185521675,133.6920865023858,-117.52491974794066,251.21700625032645,251.21700625032645,-189.54982522859063,39861.14,40071.64,39966.39,39369.085,40594.5865,45547.87886617896,35641.29413382104,9906.584732357922,1d
2022-03-05,39148.65,39613.24,38407.59,39397.96,30363.13341,46.27514656168861,3.5480116195612936,-93.31033347444027,96.85834509400156,96.85834509400156,-130.1440748828245,41200.0,40071.64,40635.82,39369.085,40461.8015,45393.85804269767,35529.74495730233,9864.113085395336,1d
2022-03-06,39397.97,39693.87,38088.57,38420.81,39677.26158,43.79475302219046,-176.40644034412253,-109.92955484837672,-66.4768854957458,66.4768854957458,-179.95445196368382,41200.0,40071.64,40635.82,39369.085,40256.045,45168.12785235254,35343.96214764746,9824.165704705083,1d
2022-03-07,38420.8,39547.57,37155.0,37988.0,63994.11559,42.702932576253154,-349.9122196279932,-157.92608780430004,-191.98613182369314,191.98613182369314,-173.50577928387065,41200.0,40071.64,40635.82,39369.085,39928.202000000005,44516.083060069024,35340.320939930985,9175.762120138039,1d
2022-03-08,37988.01,39362.08,37867.65,38730.63,55583.06638,45.22619232675922,-422.62105274637725,-210.8650807927155,-211.75597195366174,211.75597195366174,-72.70883311838406,41277.5,39861.14,40569.32,39369.085,39671.0555,43908.72244312981,35433.388556870195,8475.333886259614,1d
2022-03-09,38730.63,42594.06,38656.45,41941.71,67392.58799,54.54703368442492,-218.61593849158817,-212.41525233249007,-6.2006861590980975,6.2006861590980975,204.00511425478908,41277.5,39861.14,40569.32,39369.085,39742.356,44081.24705430087,35403.46494569913,8677.782108601736,1d
2022-03-10,41941.7,42039.63,38539.73,39422.0,71962.93154,47.68920842506939,-257.2940291638588,-221.39100769876381,-35.90302146509498,35.90302146509498,-38.67809067227063,41277.5,39861.14,40569.32,39369.085,39714.734000000004,44054.397198716244,35375.070801283764,8679.32639743248,1d
2022-03-11,39422.01,40236.26,38223.6,38729.57,59018.7642,45.97848450255122,-339.90183206477377,-245.0931725719658,-94.80865949280798,94.80865949280798,-82.60780290091498,40628.06,39861.14,40244.6,39369.085,39647.254,44004.08878897836,35290.41921102164,8713.669577956724,1d
2022-03-12,38729.57,39486.71,38660.52,38807.36,24034.36432,46.21192617509353,-394.5440499265678,-274.98334804288623,-119.56070188368159,119.56070188368159,-54.64221786179405,39874.53,39861.14,39867.835,39369.085,39668.2775,44004.59187190514,35331.96312809485,8672.628743810288,1d
2022-03-13,38807.35,39310.0,37578.51,37777.34,32791.82359,43.52965072612243,-515.0255134943363,-322.9917811331763,-192.03373236116005,192.03373236116005,-120.48146356776851,39874.53,39861.14,39867.835,39369.085,39706.7365,43960.86271536868,35452.610284631315,8508.252430737368,1d
2022-03-14,37777.35,39947.12,37555.0,39671.37,46945.45375,49.35126931921349,-452.45987368567876,-348.8853996436768,-103.57447404200195,103.57447404200195,62.56563980865758,39874.53,39861.14,39867.835,39369.085,39778.7885,43978.92169082706,35578.655309172944,8400.266381654117,1d
2022-03-15,39671.37,39887.61,38098.33,39280.33,46015.54926,48.24541396194777,-429.47904621523776,-365.004128957989,-64.47491725724876,64.47491725724876,22.980827470441,39874.53,39861.14,39867.835,39369.085,39880.3045,43926.36985568755,35834.23914431244,8092.13071137511,1d
2022-03-16,39280.33,41718.0,38828.48,41114.0,88120.76167,53.50651648143317,-260.30410678722546,-344.0641245238363,83.76001773661085,83.76001773661085,169.1749394280123,40074.53,39861.14,39967.835,39369.085,40019.644,44033.98868993534,36005.29931006466,8028.689379870673,1d
2022-03-17,41114.01,41478.82,40500.0,40917.9,37189.38087,52.88733112846538,-140.4365148503275,-303.33860258913455,162.90208773880704,162.90208773880704,119.86759193689795,40074.53,39861.14,39967.835,40071.64,40104.5805,44119.46872968398,36089.692270316016,8029.77645936796,1d
2022-03-18,40917.89,42325.02,40135.04,41757.51,45408.00969,55.273825649893524,22.054692676880222,-238.25994353593163,260.3146362128118,260.3146362128118,162.49120752720773,39940.009999999995,39861.14,39900.575,40071.64,40236.62,44286.41645062761,36186.8235493724,8099.592901255208,1d
2022-03-19,41757.51,42400.0,41499.29,42201.13,29067.18108,56.52685710016859,184.49977330158436,-153.70800016842844,338.2077734700128,338.2077734700128,162.44508062470413,39977.5,39861.14,39919.32,40071.64,40461.723000000005,44421.797968558036,36501.648031441975,7920.149937116061,1d
2022-03-20,42201.13,42296.26,40911.0,41262.11,30653.33468,53.133591900000305,234.76142024913133,-76.01411608491648,310.77553633404784,310.77553633404784,50.26164694754698,39977.5,39861.14,39919.32,40071.64,40366.828499999996,44150.76269714018,36582.894302859815,7567.868394280362,1d
2022-03-21,41262.11,41544.22,40467.94,41002.25,39426.24877,52.19973456632184,250.73528700006864,-10.664235467919461,261.3995224679881,261.3995224679881,15.973866750937304,39977.5,39861.14,39919.32,40071.64,40195.881,43511.666315998606,36880.0956840014,6631.570631997209,1d
2022-03-22,41002.26,43361.0,40875.51,42364.13,59454.94294,56.513440162267244,369.0330425798602,65.27522014163648,303.7578224382237,303.7578224382237,118.29775557979156,40458.0,41200.0,40829.0,40071.64,40119.438500000004,43148.89570890839,37089.981291091615,6058.914417816777,1d
2022-03-23,42364.13,43025.96,41751.47,42882.76,40828.87039,58.06545408999187,498.8831582896237,151.99680777123393,346.88635051838975,346.88635051838975,129.8501157097635,40729.665,41200.0,40964.832500000004,40071.64,40140.8765,43241.348446695694,37040.4045533043,6200.943893391392,1d
2022-03-24,42882.76,44220.89,42560.46,43991.46,56195.12374,61.249362116110305,683.3756061159074,258.27256744016864,425.1030386757388,425.1030386757388,184.49244782628375,41524.685,41200.0,41362.3425,40071.64,40383.0165,43868.25668044193,36897.77631955806,6970.48036088387,1d
2022-03-25,43991.46,45094.14,43579.0,44313.16,54614.43648,62.1474228724653,845.7958930895911,375.7772325700531,470.018660519538,470.018660519538,162.4202869736837,42614.59,41277.5,41946.045,40071.64,40628.7765,44475.91121683106,36781.64178316894,7694.269433662121,1d
2022-03-26,44313.16,44792.99,44071.97,44511.27,23041.61741,62.72040109328699,979.2132017659533,496.46442640923317,482.7487753567201,482.7487753567201,133.41730867636215,42614.59,41277.5,41946.045,40071.64,40933.2995,44991.530203374896,36875.068796625106,8116.46140674979,1d
2022-03-27,44511.27,46999.0,44421.46,46827.76,41874.91071,68.68872205062371,1257.3745324751726,648.6464476224211,608.7280848527515,608.7280848527515,278.1613307092193,43733.47,42077.0,42905.235,40660.64,41375.2875,45947.1359184748,36803.4390815252,9143.696836949603,1d
2022-03-28,46827.76,48189.84,46663.56,47122.21,58949.2614,69.36020139482008,1484.4670333729955,815.810564772536,668.6564686004594,668.6564686004594,227.0925008978229,44328.89,42672.42,43500.655,41256.06,41794.8665,46835.12371548874,36754.60928451125,10080.514430977491,1d
2022-03-29,47122.21,48096.47,46950.85,47434.8,36772.28457,70.09344199070043,1670.4074596220235,986.7299437424335,683.6775158795899,683.6775158795899,185.94042624902795,44328.89,42672.42,43500.655,41256.06,42069.521,47678.43442373826,36460.60757626174,11217.826847476521,1d
2022-03-30,47434.79,47700.22,46445.42,47067.99,40947.2085,68.03589635727369,1767.790101730272,1142.9419753400014,624.8481263902706,624.8481263902706,97.38264210824855,44532.675,42672.42,43602.5475,41256.06,42451.8205,48322.967163463116,36580.67383653689,11742.293326926228,1d
2022-03-31,47067.99,47600.0,45200.0,45510.34,48645.12667,59.9836284150469,1699.6843073509153,1254.2904417421842,445.3938656087312,445.3938656087312,-68.10579437935667,44970.655,42672.42,43821.5375,41256.06,42790.859000000004,48545.02733915996,37036.690660840046,11508.336678319916,1d
2022-04-01,45510.35,46720.09,44200.0,46283.49,56271.06474,62.364605129247956,1688.6312284798987,1341.158599089727,347.47262939017173,347.47262939017173,-11.053078871016623,45375.149999999994,42672.42,44023.784999999996,41256.06,43164.6655,48805.37197006683,37523.959029933176,11281.412940133654,1d
2022-04-02,46283.49,47213.0,45620.0,45811.0,37073.53582,60.01450058749804,1623.0362381566883,1397.5341269031194,225.50211125356896,225.50211125356896,-65.59499032321037,45884.42,42872.42,44378.42,41256.06,43566.3485,48740.14155733091,38392.55544266909,10347.586114661826,1d
2022-04-03,45810.99,47444.11,45530.92,46407.35,33394.67794,61.96277922175409,1600.7200920270334,1438.1713199279022,162.54877209913116,162.54877209913116,-22.316146129654953,46130.905,42872.42,44501.6625,41256.06,43903.1475,48892.58501699421,38913.709983005785,9978.875033988428,1d
2022-04-04,46407.36,46890.71,45118.0,46580.51,44641.87514,62.533628187885725,1578.807440876706,1466.298544117663,112.50889675904318,112.50889675904318,-21.912651150327292,46194.92,42872.42,44533.67,41256.06,44268.1565,48907.24327643404,39629.06972356595,9278.173552868087,1d
2022-04-05,46580.5,47200.0,45353.81,45497.55,42192.74852,56.793031756443305,1457.257330250366,1464.4903013442035,-7.232971093837477,7.232971093837477,-121.55011062634003,46194.92,42872.42,44533.67,41256.06,44487.334,48919.20855187194,40055.459448128066,8863.749103743874,1d
2022-04-06,45497.54,45507.14,43121.0,43170.47,60849.32936,46.84210794174745,1159.7828295573563,1403.548806986834,-243.76597742947774,243.76597742947774,-297.47450069300976,45608.735,42872.42,44240.5775,41256.06,44599.9625,48770.02552953673,40429.89947046327,8340.12605907346,1d
2022-04-07,43170.47,43900.99,42727.35,43444.19,37396.54156,47.996311470410035,935.3370773955176,1309.906461068571,-374.5693836730534,374.5693836730534,-224.44575216183875,45213.785,42872.42,44043.1025,41256.06,44684.2965,48685.82515133876,40682.767848661235,8003.057302677524,1d
2022-04-08,43444.2,43970.62,42107.14,42252.01,42375.04203,43.559995627295635,653.7274758169151,1178.67066401824,-524.9431882013248,524.9431882013248,-281.60960157860245,44853.57,42872.42,43862.994999999995,41256.06,44686.8405,48682.11095517735,40691.57004482265,7990.540910354699,1d
2022-04-09,42252.02,42800.0,42125.48,42753.97,17891.66047,45.830294491416005,465.68567998392245,1036.0736672113765,-570.387987227454,570.387987227454,-188.04179583299265,44775.625,43144.085,43959.854999999996,41256.06,44761.4335,48548.43381975771,40974.43318024229,7574.00063951542,1d
2022-04-10,42753.96,43410.3,41868.0,42158.85,22771.09403,43.59148188048029,265.578567237455,881.9746472165922,-616.3960799791372,616.3960799791372,-200.10711274646746,44656.055,43509.16,44082.6075,41256.06,44819.2635,48404.844379551454,41233.68262044855,7171.161759102906,1d
2022-04-11,42158.85,42414.71,39200.0,39530.45,63560.44721,35.37273917619777,-103.89998055237083,684.7997216627997,-788.6997022151705,788.6997022151705,-369.4785477898258,43322.055,43694.92,43508.4875,41256.06,44677.5795,48820.62986988123,40534.52913011877,8286.100739762463,1d
2022-04-12,39530.45,40699.0,39254.63,40074.94,57751.01778,37.9813494293312,-348.7583301819832,478.0881112938432,-826.8464414758264,826.8464414758264,-244.85834962961235,43200.0,43694.92,43447.46,41256.06,44537.188500000004,49084.562522633845,39989.81447736616,9094.748045267683,1d
2022-04-13,40074.95,41561.31,39588.54,41147.79,41342.27254,42.874174797293186,-451.04098780994536,292.2622914730855,-743.3032792830309,743.3032792830309,-102.28265762796218,43200.0,43694.92,43447.46,41256.06,44395.005,49173.68540679162,39616.324593208374,9557.360813583247,1d
2022-04-14,41147.78,41500.0,39551.94,39942.38,36807.01401,39.13808392434689,-622.1949675719152,109.37083966408537,-731.5658072360005,731.5658072360005,-171.15397976196982,42353.57,43694.92,43024.244999999995,41256.06,44176.466,49334.8168420318,39018.1151579682,10316.701684063606,1d
2022-04-15,39942.37,40870.36,39766.4,40551.9,24026.35739,41.89529983030049,-700.5767469572529,-52.6186776601823,-647.9580692970706,647.9580692970706,-78.38177938533772,41585.31,43694.92,42640.115,41256.06,43978.4975,49368.94222149648,38588.052778503516,10780.889442992964,1d
2022-04-16,40551.9,40709.35,39991.55,40378.71,15805.44718,41.32246305739186,-767.8189188750257,-195.65872590315098,-572.1601929718747,572.1601929718747,-67.2421719177728,41585.31,43694.92,42640.115,41256.06,43656.045,49097.462690890345,38214.62730910965,10882.835381780693,1d
2022-04-17,40378.7,40595.67,39546.17,39678.12,19988.49259,38.99945896974862,-867.6389804188657,-330.05477680629394,-537.5842036125717,537.5842036125717,-99.82006154383998,41305.15,43694.92,42500.035,42594.92,43283.840500000006,48744.316598943544,37823.36440105647,10920.952197887076,1d
2022-04-18,39678.11,41116.73,38536.51,40801.13,54243.49575,44.39553220341579,-846.3731143301993,-433.31844431107504,-413.0546700191243,413.0546700191243,21.26586608866637,40973.405,43363.175,42168.29,42594.92,42952.15699999999,48164.01087186543,37740.303128134554,10423.707743730876,1d
2022-04-19,40801.13,41760.0,40571.0,41493.18,35788.85843,47.47884073412535,-764.860277772641,-499.62681100338824,-265.23346676925274,265.23346676925274,81.51283655755833,40475.61,43363.175,41919.3925,42594.92,42673.4165,47561.191273539174,37785.641726460824,9775.54954707835,1d
2022-04-20,41493.19,42199.0,40820.0,41358.19,40877.35041,46.932168862353706,-703.0490208939518,-540.311252981501,-162.73776791245086,162.73776791245086,61.811256878689164,40367.755000000005,43363.175,41865.465000000004,42672.42,42465.808999999994,47204.403295876255,37727.21470412373,9477.188591752521,1d
2022-04-21,41358.19,42976.0,39751.0,40480.01,59316.27657,43.428910372178635,-716.663688343484,-575.5817400538976,-141.0819482895863,141.0819482895863,-13.614667449532135,40756.255000000005,43363.175,42059.715000000004,42672.42,42175.634999999995,46646.78854130621,37704.48145869378,8942.307082612431,1d
2022-04-22,40480.01,40795.06,39177.0,39709.18,46664.0196,40.56651877227253,-780.6540552815059,-616.5962030994193,-164.05785218208655,164.05785218208655,-63.99036693802191,40756.255000000005,43363.175,42059.715000000004,42672.42,41870.544,46135.79853326895,37605.289466731054,8530.509066537896,1d
2022-04-23,39709.19,39980.0,39285.0,39441.6,20291.42375,39.591020430935316,-843.2380287482592,-661.9245682291873,-181.3134605190719,181.3134605190719,-62.58397346675338,40756.255000000005,43316.490000000005,42036.372500000005,42672.42,41522.2565,45365.511833392055,37679.00116660795,7686.510666784103,1d
2022-04-24,39441.61,39940.0,38929.62,39450.13,26703.61186,39.640849408926144,-881.9810503675326,-705.9358646568564,-176.04518571067615,176.04518571067615,-38.74302161927335,40756.255000000005,43118.365000000005,41937.310000000005,42672.42,41165.7375,44328.60713382158,38002.86786617843,6325.739267643148,1d
2022-04-25,39450.12,40616.0,38200.0,40426.08,63037.12784,45.20948831090991,-824.4306422303052,-729.6348201715463,-94.79582205875897,94.79582205875897,57.55040813722735,40588.0,42900.0,41744.0,42672.42,40912.164000000004,43382.59816778747,38441.729832212535,4940.868335574938,1d
2022-04-26,40426.08,40797.31,37702.26,38112.65,66650.258,36.59160073685602,-954.4931926386707,-774.6064946649713,-179.88669797369948,179.88669797369948,-130.0625504083655,40339.130000000005,42573.185,41456.1575,42672.42,40659.273,43188.04663066762,38130.499369332385,5057.547261335232,1d
2022-04-27,38112.64,39474.72,37881.31,39235.72,57083.12272,42.33800340643474,-955.9270062903743,-810.8705969900519,-145.05640930032234,145.05640930032234,-1.433813651703531,40339.130000000005,42573.185,41456.1575,42672.42,40448.849500000004,42700.900113804004,38196.798886196004,4504.101227608,1d
2022-04-28,39235.72,40372.63,38881.43,39742.07,56086.6715,44.76833789381599,-905.7640169144724,-829.849280974936,-75.9147359395364,75.9147359395364,50.162989375901816,40339.130000000005,42573.185,41456.1575,42872.42,40323.3525,42434.83630852684,38211.86869147316,4222.967617053684,1d
2022-04-29,39742.06,39925.25,38175.0,38596.11,51453.65715,40.597885954856025,-947.5560449884506,-853.390633777639,-94.16541121081161,94.16541121081161,-41.792028073978145,40339.130000000005,42451.130000000005,41395.130000000005,42872.42,40115.4595,42039.14838346716,38191.770616532835,3847.3777669343253,1d
